word	file	lines
aa	Collaborative-Git-GitHub-slides.qmd	341,370
bfc	Collaborative-Git-GitHub-slides.qmd	341,370
branchName	Collaborative-Git-GitHub-slides.qmd	361
cbd	Collaborative-Git-GitHub-slides.qmd	341,370
cd	Collaborative-Git-GitHub-slides.qmd	119,274
CLI	01-workshop.Rmd	104
CLI	Collaborative-Git-GitHub-slides.qmd	107
clo	Collaborative-Git-GitHub-slides.qmd	90,132,139,142,143,144,162,163,164,165,189
CollaborativeGitGitHubDaSl	Collaborative-Git-GitHub-slides.qmd	90
csail	Collaborative-Git-GitHub-slides.qmd	390
dangitgit	Collaborative-Git-GitHub-slides.qmd	388
DangItGit	01-workshop.Rmd	476
DangItGit	Collaborative-Git-GitHub-slides.qmd	388
DaSL	Collaborative-Git-GitHub-slides.qmd	15
edu	Collaborative-Git-GitHub-slides.qmd	390
explainshell	Collaborative-Git-GitHub-slides.qmd	392
fbe	Collaborative-Git-GitHub-slides.qmd	341,370
fbf	Collaborative-Git-GitHub-slides.qmd	313,347,376
fcbe	Collaborative-Git-GitHub-slides.qmd	367
fcbea	Collaborative-Git-GitHub-slides.qmd	313,347,376
fcfc	Collaborative-Git-GitHub-slides.qmd	313,347,376
fhdsl	Collaborative-Git-GitHub-slides.qmd	117,122,138,366
github	01-workshop.Rmd	119
github	Collaborative-Git-GitHub-slides.qmd	86,103,110,117,122,138,366
https	01-workshop.Rmd	119
https	Collaborative-Git-GitHub-slides.qmd	44,86,90,103,110,117,122,138,366,386,388,390,392
HTTPS	Collaborative-Git-GitHub-slides.qmd	105
ie	01-workshop.Rmd	41
init	Collaborative-Git-GitHub-slides.qmd	275
md	Collaborative-Git-GitHub-slides.qmd	240,242,330,331
mit	Collaborative-Git-GitHub-slides.qmd	390
mkdir	Collaborative-Git-GitHub-slides.qmd	273
png	Collaborative-Git-GitHub-slides.qmd	44,128,153,173,185,193,199,264
ProGit	01-workshop.Rmd	11,474
ProGit	Collaborative-Git-GitHub-slides.qmd	386
README	Collaborative-Git-GitHub-slides.qmd	240,242,276,277,278,330,331,332,345,374
replit	01-workshop.Rmd	81,85
replit	Collaborative-Git-GitHub-slides.qmd	90
Replit	Collaborative-Git-GitHub-slides.qmd	90,94,114
revealjs	Collaborative-Git-GitHub-slides.qmd	4
scm	Collaborative-Git-GitHub-slides.qmd	44,386
scrollable	Collaborative-Git-GitHub-slides.qmd	6
unbranched	01-workshop.Rmd	62
Untracked	01-workshop.Rmd	25,33
